"","target_id","source_id","weight"
"289","10.00_98.00","10.00_97.00",0.125005354756002
"290","10.00_98.00","10.00_98.00",0.250010709512004
"291","10.00_98.00","10.00_99.00",0.125005354756002
"292","10.00_98.00","11.00_97.00",0.0623530633883679
"293","10.00_98.00","11.00_98.00",0.124706126776736
"294","10.00_98.00","11.00_99.00",0.0623530633883679
"295","10.00_100.00","9.00_99.00",0.0835221091408402
"296","10.00_100.00","9.00_100.00",0.16704421828168
"297","10.00_100.00","10.00_99.00",0.166673806341336
"298","10.00_100.00","10.00_100.00",0.333347612682672
"299","10.00_100.00","11.00_99.00",0.0831374178511571
"300","10.00_100.00","11.00_100.00",0.166274835702314
"301","12.00_68.00","11.00_67.00",0.0626712225354812
"302","12.00_68.00","11.00_68.00",0.125342445070962
"303","12.00_68.00","11.00_69.00",0.0626712225354812
"304","12.00_68.00","12.00_67.00",0.125005354756002
"305","12.00_68.00","12.00_68.00",0.250010709512004
"306","12.00_68.00","12.00_69.00",0.125005354756002
"307","12.00_68.00","13.00_67.00",0.0623234227085167
"308","12.00_68.00","13.00_68.00",0.124646845417033
"309","12.00_68.00","13.00_69.00",0.0623234227085167
"310","12.00_70.00","11.00_69.00",0.0626712225354812
"311","12.00_70.00","11.00_70.00",0.125342445070962
"312","12.00_70.00","11.00_71.00",0.0626712225354812
"313","12.00_70.00","12.00_69.00",0.125005354756002
"314","12.00_70.00","12.00_70.00",0.250010709512004
"315","12.00_70.00","12.00_71.00",0.125005354756002
"316","12.00_70.00","13.00_69.00",0.0623234227085167
"317","12.00_70.00","13.00_70.00",0.124646845417033
"318","12.00_70.00","13.00_71.00",0.0623234227085167
"319","12.00_72.00","11.00_71.00",0.0626712225354812
"320","12.00_72.00","11.00_72.00",0.125342445070962
"321","12.00_72.00","11.00_73.00",0.0626712225354812
"322","12.00_72.00","12.00_71.00",0.125005354756002
"323","12.00_72.00","12.00_72.00",0.250010709512004
"324","12.00_72.00","12.00_73.00",0.125005354756002
"325","12.00_72.00","13.00_71.00",0.0623234227085167
"326","12.00_72.00","13.00_72.00",0.124646845417033
"327","12.00_72.00","13.00_73.00",0.0623234227085167
"328","12.00_74.00","11.00_73.00",0.0626712225354812
"329","12.00_74.00","11.00_74.00",0.125342445070962
"330","12.00_74.00","11.00_75.00",0.0626712225354812
"331","12.00_74.00","12.00_73.00",0.125005354756002
"332","12.00_74.00","12.00_74.00",0.250010709512004
"333","12.00_74.00","12.00_75.00",0.125005354756002
"334","12.00_74.00","13.00_73.00",0.0623234227085167
"335","12.00_74.00","13.00_74.00",0.124646845417033
"336","12.00_74.00","13.00_75.00",0.0623234227085167
"337","12.00_76.00","11.00_75.00",0.0626712225354812
"338","12.00_76.00","11.00_76.00",0.125342445070962
"339","12.00_76.00","11.00_77.00",0.0626712225354812
"340","12.00_76.00","12.00_75.00",0.125005354756002
"341","12.00_76.00","12.00_76.00",0.250010709512004
"342","12.00_76.00","12.00_77.00",0.125005354756002
"343","12.00_76.00","13.00_75.00",0.0623234227085167
"344","12.00_76.00","13.00_76.00",0.124646845417033
"345","12.00_76.00","13.00_77.00",0.0623234227085167
"346","12.00_78.00","11.00_77.00",0.0626712225354812
"347","12.00_78.00","11.00_78.00",0.125342445070962
"348","12.00_78.00","11.00_79.00",0.0626712225354812
"349","12.00_78.00","12.00_77.00",0.125005354756002
"350","12.00_78.00","12.00_78.00",0.250010709512004
"351","12.00_78.00","12.00_79.00",0.125005354756002
"352","12.00_78.00","13.00_77.00",0.0623234227085167
"353","12.00_78.00","13.00_78.00",0.124646845417033
"354","12.00_78.00","13.00_79.00",0.0623234227085167
"355","12.00_80.00","11.00_79.00",0.0626712225354812
"356","12.00_80.00","11.00_80.00",0.125342445070962
"357","12.00_80.00","11.00_81.00",0.0626712225354812
"358","12.00_80.00","12.00_79.00",0.125005354756002
"359","12.00_80.00","12.00_80.00",0.250010709512004
"360","12.00_80.00","12.00_81.00",0.125005354756002
"361","12.00_80.00","13.00_79.00",0.0623234227085167
"362","12.00_80.00","13.00_80.00",0.124646845417033
"363","12.00_80.00","13.00_81.00",0.0623234227085167
"364","12.00_82.00","11.00_81.00",0.0626712225354812
"365","12.00_82.00","11.00_82.00",0.125342445070962
"366","12.00_82.00","11.00_83.00",0.0626712225354812
"367","12.00_82.00","12.00_81.00",0.125005354756002
"368","12.00_82.00","12.00_82.00",0.250010709512004
"369","12.00_82.00","12.00_83.00",0.125005354756002
"370","12.00_82.00","13.00_81.00",0.0623234227085167
"371","12.00_82.00","13.00_82.00",0.124646845417033
"372","12.00_82.00","13.00_83.00",0.0623234227085167
"373","12.00_84.00","11.00_83.00",0.0626712225354812
"374","12.00_84.00","11.00_84.00",0.125342445070962
"375","12.00_84.00","11.00_85.00",0.0626712225354812
"376","12.00_84.00","12.00_83.00",0.125005354756002
"377","12.00_84.00","12.00_84.00",0.250010709512004
"378","12.00_84.00","12.00_85.00",0.125005354756002
"379","12.00_84.00","13.00_83.00",0.0623234227085167
"380","12.00_84.00","13.00_84.00",0.124646845417033
"381","12.00_84.00","13.00_85.00",0.0623234227085167
"382","12.00_86.00","11.00_85.00",0.0626712225354812
"383","12.00_86.00","11.00_86.00",0.125342445070962
"384","12.00_86.00","11.00_87.00",0.0626712225354812
"385","12.00_86.00","12.00_85.00",0.125005354756002
"386","12.00_86.00","12.00_86.00",0.250010709512004
"387","12.00_86.00","12.00_87.00",0.125005354756002
"388","12.00_86.00","13.00_85.00",0.0623234227085167
"389","12.00_86.00","13.00_86.00",0.124646845417033
"390","12.00_86.00","13.00_87.00",0.0623234227085167
"391","12.00_88.00","11.00_87.00",0.0626712225354812
"392","12.00_88.00","11.00_88.00",0.125342445070962
"393","12.00_88.00","11.00_89.00",0.0626712225354812
"394","12.00_88.00","12.00_87.00",0.125005354756002
"395","12.00_88.00","12.00_88.00",0.250010709512004
"396","12.00_88.00","12.00_89.00",0.125005354756002
"397","12.00_88.00","13.00_87.00",0.0623234227085167
"398","12.00_88.00","13.00_88.00",0.124646845417033
"399","12.00_88.00","13.00_89.00",0.0623234227085167
"400","12.00_90.00","11.00_89.00",0.0626712225354812
"401","12.00_90.00","11.00_90.00",0.125342445070962
"402","12.00_90.00","11.00_91.00",0.0626712225354812
"403","12.00_90.00","12.00_89.00",0.125005354756002
"404","12.00_90.00","12.00_90.00",0.250010709512004
"405","12.00_90.00","12.00_91.00",0.125005354756002
"406","12.00_90.00","13.00_89.00",0.0623234227085167
"407","12.00_90.00","13.00_90.00",0.124646845417033
"408","12.00_90.00","13.00_91.00",0.0623234227085167
"409","12.00_92.00","11.00_91.00",0.0626712225354812
"410","12.00_92.00","11.00_92.00",0.125342445070962
"411","12.00_92.00","11.00_93.00",0.0626712225354812
"412","12.00_92.00","12.00_91.00",0.125005354756002
"413","12.00_92.00","12.00_92.00",0.250010709512004
"414","12.00_92.00","12.00_93.00",0.125005354756002
"415","12.00_92.00","13.00_91.00",0.0623234227085167
"416","12.00_92.00","13.00_92.00",0.124646845417033
"417","12.00_92.00","13.00_93.00",0.0623234227085167
"418","12.00_94.00","11.00_93.00",0.0626712225354812
"419","12.00_94.00","11.00_94.00",0.125342445070962
"420","12.00_94.00","11.00_95.00",0.0626712225354812
"421","12.00_94.00","12.00_93.00",0.125005354756002
"422","12.00_94.00","12.00_94.00",0.250010709512004
"423","12.00_94.00","12.00_95.00",0.125005354756002
"424","12.00_94.00","13.00_93.00",0.0623234227085167
"425","12.00_94.00","13.00_94.00",0.124646845417033
"426","12.00_94.00","13.00_95.00",0.0623234227085167
"427","12.00_96.00","11.00_95.00",0.0626712225354812
"428","12.00_96.00","11.00_96.00",0.125342445070962
"429","12.00_96.00","11.00_97.00",0.0626712225354812
"430","12.00_96.00","12.00_95.00",0.125005354756002
"431","12.00_96.00","12.00_96.00",0.250010709512004
"432","12.00_96.00","12.00_97.00",0.125005354756002
"433","12.00_96.00","13.00_95.00",0.0623234227085167
"434","12.00_96.00","13.00_96.00",0.124646845417033
"435","12.00_96.00","13.00_97.00",0.0623234227085167
"436","12.00_98.00","11.00_97.00",0.0626712225354812
"437","12.00_98.00","11.00_98.00",0.125342445070962
"438","12.00_98.00","11.00_99.00",0.0626712225354812
"439","12.00_98.00","12.00_97.00",0.125005354756002
"440","12.00_98.00","12.00_98.00",0.250010709512004
"441","12.00_98.00","12.00_99.00",0.125005354756002
"442","12.00_98.00","13.00_97.00",0.0623234227085167
