target_id,source_id,weight
8.00_92.00,9.17_91.25,0.0184751695850679
8.00_92.00,9.17_92.08,0.0230938798583333
8.00_92.00,9.17_92.92,0.013856490773962
8.00_94.00,6.94_92.92,0.0185579663121739
8.00_94.00,6.94_93.75,0.0463957337418478
8.00_94.00,6.94_94.58,0.0463957337418478
8.00_94.00,7.50_92.92,0.0463523984590495
8.00_94.00,7.50_93.75,0.115883039177162
8.00_94.00,7.50_94.58,0.115883039177162
8.00_94.00,8.06_92.92,0.0462910495474158
8.00_94.00,8.06_93.75,0.115729664194061
8.00_94.00,8.06_94.58,0.115729664194061
8.00_94.00,8.61_92.92,0.0462253493964026
8.00_94.00,8.61_93.75,0.115565410920727
8.00_94.00,8.61_94.58,0.115565410920727
8.00_94.00,9.17_92.92,0.00923745431946706
8.00_94.00,9.17_93.75,0.0230940429489481
8.00_94.00,9.17_94.58,0.0230940429489481
8.00_96.00,6.94_95.42,0.0463955567492446
8.00_96.00,6.94_96.25,0.0463955567492446
8.00_96.00,6.94_97.08,0.0185583202973803
8.00_96.00,7.50_95.42,0.115882597101153
8.00_96.00,7.50_96.25,0.115882597101153
8.00_96.00,7.50_97.08,0.046353282611066
8.00_96.00,8.06_95.42,0.115729222703155
8.00_96.00,8.06_96.25,0.115729222703155
8.00_96.00,8.06_97.08,0.0462919325292283
8.00_96.00,8.61_95.42,0.115564970056422
8.00_96.00,8.61_96.25,0.115564970056422
8.00_96.00,8.61_97.08,0.046226231125013
8.00_96.00,9.17_95.42,0.0230939548487188
8.00_96.00,9.17_96.25,0.0230939548487188
8.00_96.00,9.17_97.08,0.00923763051992562
8.00_98.00,6.94_97.08,0.0278370398654676
8.00_98.00,6.94_97.92,0.0463952291041014
8.00_98.00,6.94_98.75,0.0371171648263006
8.00_98.00,7.50_97.08,0.069528823474486
8.00_98.00,7.50_97.92,0.115881778738948
8.00_98.00,7.50_98.75,0.0927078745999384
8.00_98.00,8.06_97.08,0.0694367998082004
8.00_98.00,8.06_97.92,0.115728405424079
8.00_98.00,8.06_98.75,0.0925851727032587
8.00_98.00,8.61_97.08,0.0693382492616505
8.00_98.00,8.61_97.92,0.115564153937297
8.00_98.00,8.61_98.75,0.0924537680389088
8.00_98.00,9.17_97.08,0.0138562264755139
8.00_98.00,9.17_97.92,0.0230937917593483
8.00_98.00,9.17_98.75,0.0184755219825009
8.00_100.00,6.94_98.75,0.0185566030191172
8.00_100.00,6.94_99.58,0.0927928307767524
8.00_100.00,7.50_98.75,0.046348993349787
8.00_100.00,7.50_99.58,0.231769483463586
8.00_100.00,8.06_98.75,0.0462876489449265
8.00_100.00,8.06_99.58,0.231462728990612
8.00_100.00,8.61_98.75,0.0462219536203344
8.00_100.00,8.61_99.58,0.231134217617522
8.00_100.00,9.17_98.75,0.00923677572370264
8.00_100.00,9.17_99.58,0.0461887644936605
10.00_68.00,9.17_67.08,0.0556850537042356
10.00_68.00,9.17_67.92,0.0928087482278283
10.00_68.00,9.17_68.75,0.0742489620552474
10.00_68.00,9.72_67.08,0.0695063349842209
10.00_68.00,9.72_67.92,0.115844297790432
10.00_68.00,9.72_68.75,0.0926778890481736
10.00_68.00,10.28_67.08,0.0693875991020527
10.00_68.00,10.28_67.92,0.115646403959669
10.00_68.00,10.28_68.75,0.092519569796898
10.00_68.00,10.83_67.08,0.0554181510948092
10.00_68.00,10.83_67.92,0.0923639089858449
10.00_68.00,10.83_68.75,0.0738930812505885
10.00_70.00,9.17_68.75,0.0185601191189862
10.00_70.00,9.17_69.58,0.0928104131359698
10.00_70.00,9.17_70.42,0.0928104131359698
10.00_70.00,9.17_71.25,0.0185618185963855
10.00_70.00,9.72_68.75,0.0231668243274617
10.00_70.00,9.72_69.58,0.115846375936277
10.00_70.00,9.72_70.42,0.115846375936277
10.00_70.00,9.72_71.25,0.0231689456228104
10.00_70.00,10.28_68.75,0.0231272490380412
10.00_70.00,10.28_69.58,0.115648478555472
10.00_70.00,10.28_70.42,0.115648478555472
10.00_70.00,10.28_71.25,0.0231293667096357
10.00_70.00,10.83_68.75,0.0184711590858248
10.00_70.00,10.83_69.58,0.0923655659139577
10.00_70.00,10.83_70.42,0.0923655659139577
10.00_70.00,10.83_71.25,0.0184728504175024
10.00_72.00,9.17_71.25,0.0742475458493261
10.00_72.00,9.17_72.08,0.0928091022778085
10.00_72.00,9.17_72.92,0.0556861158601768
10.00_72.00,9.72_71.25,0.0926761213335603
10.00_72.00,9.72_72.08,0.115844739717213
10.00_72.00,9.72_72.92,0.0695076607720534
10.00_72.00,10.28_71.25,0.092517805102026
10.00_72.00,10.28_72.08,0.115646845131518
10.00_72.00,10.28_72.92,0.0693889226250761
10.00_72.00,10.83_71.25,0.0738916718326475
10.00_72.00,10.83_72.08,0.0923642613388371
10.00_72.00,10.83_72.92,0.0554192081597579
10.00_74.00,9.17_72.92,0.0371232485827904
10.00_74.00,9.17_73.75,0.0928097577022604
10.00_74.00,9.17_74.58,0.0928097577022604
10.00_74.00,9.72_72.92,0.0463374061808917
10.00_74.00,9.72_73.75,0.115845557820967
10.00_74.00,9.72_74.58,0.115845557820967
10.00_74.00,10.28_72.92,0.046258249183166
10.00_74.00,10.28_73.75,0.115647661837727
10.00_74.00,10.28_74.58,0.115647661837727
10.00_74.00,10.83_72.92,0.0369453140876608
10.00_74.00,10.83_73.75,0.0923649136217909
10.00_74.00,10.83_74.58,0.0923649136217909
10.00_76.00,9.17_75.42,0.0928094036472796
10.00_76.00,9.17_76.25,0.0928094036472796
10.00_76.00,9.17_77.08,0.037123956692752
10.00_76.00,9.72_75.42,0.115845115887945
10.00_76.00,9.72_76.25,0.115845115887945
10.00_76.00,9.72_77.08,0.046338290046937
10.00_76.00,10.28_75.42,0.115647220659647
10.00_76.00,10.28_76.25,0.115647220659647
10.00_76.00,10.28_77.08,0.0462591315393256
10.00_76.00,10.83_75.42,0.092364561263822
10.00_76.00,10.83_76.25,0.092364561263822
10.00_76.00,10.83_77.08,0.0369460188035986
10.00_78.00,9.17_77.08,0.0556850537042356
10.00_78.00,9.17_77.92,0.0928087482278283
10.00_78.00,9.17_78.75,0.0742489620552474
10.00_78.00,9.72_77.08,0.0695063349842209
10.00_78.00,9.72_77.92,0.115844297790432
10.00_78.00,9.72_78.75,0.0926778890481736
10.00_78.00,10.28_77.08,0.0693875991020527
10.00_78.00,10.28_77.92,0.115646403959669
10.00_78.00,10.28_78.75,0.092519569796898
10.00_78.00,10.83_77.08,0.0554181510948092
10.00_78.00,10.83_77.92,0.0923639089858449
10.00_78.00,10.83_78.75,0.0738930812505885
10.00_80.00,9.17_78.75,0.0185601191189862
10.00_80.00,9.17_79.58,0.0928104131359698
10.00_80.00,9.17_80.42,0.0928104131359698
10.00_80.00,9.17_81.25,0.0185618185963855
10.00_80.00,9.72_78.75,0.0231668243274617
10.00_80.00,9.72_79.58,0.115846375936277
10.00_80.00,9.72_80.42,0.115846375936277
10.00_80.00,9.72_81.25,0.0231689456228104
10.00_80.00,10.28_78.75,0.0231272490380412
10.00_80.00,10.28_79.58,0.115648478555472
10.00_80.00,10.28_80.42,0.115648478555472
10.00_80.00,10.28_81.25,0.0231293667096357
10.00_80.00,10.83_78.75,0.0184711590858248
10.00_80.00,10.83_79.58,0.0923655659139577
10.00_80.00,10.83_80.42,0.0923655659139577
10.00_80.00,10.83_81.25,0.0184728504175024
10.00_82.00,9.17_81.25,0.0742475458493261
10.00_82.00,9.17_82.08,0.0928091022778085
10.00_82.00,9.17_82.92,0.0556861158601768
10.00_82.00,9.72_81.25,0.0926761213335603
10.00_82.00,9.72_82.08,0.115844739717213
10.00_82.00,9.72_82.92,0.0695076607720534
10.00_82.00,10.28_81.25,0.092517805102026
10.00_82.00,10.28_82.08,0.115646845131518
10.00_82.00,10.28_82.92,0.0693889226250761
10.00_82.00,10.83_81.25,0.0738916718326475
10.00_82.00,10.83_82.08,0.0923642613388371
10.00_82.00,10.83_82.92,0.0554192081597579
10.00_84.00,9.17_82.92,0.0371232485827904
10.00_84.00,9.17_83.75,0.0928097577022604
10.00_84.00,9.17_84.58,0.0928097577022604
10.00_84.00,9.72_82.92,0.0463374061808917
10.00_84.00,9.72_83.75,0.115845557820967
10.00_84.00,9.72_84.58,0.115845557820967
10.00_84.00,10.28_82.92,0.046258249183166
10.00_84.00,10.28_83.75,0.115647661837727
10.00_84.00,10.28_84.58,0.115647661837727
10.00_84.00,10.83_82.92,0.0369453140876608
10.00_84.00,10.83_83.75,0.0923649136217909
10.00_84.00,10.83_84.58,0.0923649136217909
10.00_86.00,9.17_85.42,0.0928094036472796
10.00_86.00,9.17_86.25,0.0928094036472796
10.00_86.00,9.17_87.08,0.037123956692752
10.00_86.00,9.72_85.42,0.115845115887945
10.00_86.00,9.72_86.25,0.115845115887945
10.00_86.00,9.72_87.08,0.046338290046937
10.00_86.00,10.28_85.42,0.115647220659647
10.00_86.00,10.28_86.25,0.115647220659647
10.00_86.00,10.28_87.08,0.0462591315393256
10.00_86.00,10.83_85.42,0.092364561263822
10.00_86.00,10.83_86.25,0.092364561263822
10.00_86.00,10.83_87.08,0.0369460188035986
10.00_88.00,9.17_87.08,0.0556850537042356
10.00_88.00,9.17_87.92,0.0928087482278283
10.00_88.00,9.17_88.75,0.0742489620552474
10.00_88.00,9.72_87.08,0.0695063349842209
10.00_88.00,9.72_87.92,0.115844297790432
10.00_88.00,9.72_88.75,0.0926778890481736
10.00_88.00,10.28_87.08,0.0693875991020527
10.00_88.00,10.28_87.92,0.115646403959669
10.00_88.00,10.28_88.75,0.092519569796898
10.00_88.00,10.83_87.08,0.0554181510948092
10.00_88.00,10.83_87.92,0.0923639089858449
10.00_88.00,10.83_88.75,0.0738930812505885
10.00_90.00,9.17_88.75,0.0185601191189862
10.00_90.00,9.17_89.58,0.0928104131359698
10.00_90.00,9.17_90.42,0.0928104131359698
10.00_90.00,9.17_91.25,0.0185618185963855
10.00_90.00,9.72_88.75,0.0231668243274617
10.00_90.00,9.72_89.58,0.115846375936277
10.00_90.00,9.72_90.42,0.115846375936277
10.00_90.00,9.72_91.25,0.0231689456228104
10.00_90.00,10.28_88.75,0.0231272490380412
10.00_90.00,10.28_89.58,0.115648478555472
10.00_90.00,10.28_90.42,0.115648478555472
10.00_90.00,10.28_91.25,0.0231293667096357
10.00_90.00,10.83_88.75,0.0184711590858248
10.00_90.00,10.83_89.58,0.0923655659139577
10.00_90.00,10.83_90.42,0.0923655659139577
10.00_90.00,10.83_91.25,0.0184728504175024
10.00_92.00,9.17_91.25,0.0742475458493261
10.00_92.00,9.17_92.08,0.0928091022778085
10.00_92.00,9.17_92.92,0.0556861158601768
10.00_92.00,9.72_91.25,0.0926761213335603
10.00_92.00,9.72_92.08,0.115844739717213
10.00_92.00,9.72_92.92,0.0695076607720534
10.00_92.00,10.28_91.25,0.092517805102026
10.00_92.00,10.28_92.08,0.115646845131518
10.00_92.00,10.28_92.92,0.0693889226250761
10.00_92.00,10.83_91.25,0.0738916718326475
10.00_92.00,10.83_92.08,0.0923642613388371
10.00_92.00,10.83_92.92,0.0554192081597579
10.00_94.00,9.17_92.92,0.0371232485827904
10.00_94.00,9.17_93.75,0.0928097577022604
10.00_94.00,9.17_94.58,0.0928097577022604
10.00_94.00,9.72_92.92,0.0463374061808917
10.00_94.00,9.72_93.75,0.115845557820967
10.00_94.00,9.72_94.58,0.115845557820967
10.00_94.00,10.28_92.92,0.046258249183166
10.00_94.00,10.28_93.75,0.115647661837727
10.00_94.00,10.28_94.58,0.115647661837727
10.00_94.00,10.83_92.92,0.0369453140876608
