target_id,source_id,weight
8.00_74.00,8.50_75.00,0.00780301154387497
8.00_74.00,8.75_73.00,0.00779784891365233
8.00_74.00,8.75_73.25,0.0155956978273046
8.00_74.00,8.75_73.50,0.0155956978273046
8.00_74.00,8.75_73.75,0.0155956978273046
8.00_74.00,8.75_74.00,0.0155956978273046
8.00_74.00,8.75_74.25,0.0155956978273046
8.00_74.00,8.75_74.50,0.0155956978273046
8.00_74.00,8.75_74.75,0.0155956978273046
8.00_74.00,8.75_75.00,0.00779784891365233
8.00_74.00,9.00_73.00,0.00389693975437909
8.00_74.00,9.00_73.25,0.00779387950875818
8.00_74.00,9.00_73.50,0.00779387950875818
8.00_74.00,9.00_73.75,0.00779387950875818
8.00_74.00,9.00_74.00,0.00779387950875818
8.00_74.00,9.00_74.25,0.00779387950875818
8.00_74.00,9.00_74.50,0.00779387950875818
8.00_74.00,9.00_74.75,0.00779387950875818
8.00_74.00,9.00_75.00,0.00389693975437909
8.00_76.00,7.00_75.00,0.00391490543027822
8.00_76.00,7.00_75.25,0.00782981086055644
8.00_76.00,7.00_75.50,0.00782981086055644
8.00_76.00,7.00_75.75,0.00782981086055644
8.00_76.00,7.00_76.00,0.00782981086055644
8.00_76.00,7.00_76.25,0.00782981086055644
8.00_76.00,7.00_76.50,0.00782981086055644
8.00_76.00,7.00_76.75,0.00782981086055644
8.00_76.00,7.00_77.00,0.00391490543027822
8.00_76.00,7.25_75.00,0.00782659445685691
8.00_76.00,7.25_75.25,0.0156531889137138
8.00_76.00,7.25_75.50,0.0156531889137138
8.00_76.00,7.25_75.75,0.0156531889137138
8.00_76.00,7.25_76.00,0.0156531889137138
8.00_76.00,7.25_76.25,0.0156531889137138
8.00_76.00,7.25_76.50,0.0156531889137138
8.00_76.00,7.25_76.75,0.0156531889137138
8.00_76.00,7.25_77.00,0.00782659445685691
8.00_76.00,7.50_75.00,0.00782217554339104
8.00_76.00,7.50_75.25,0.0156443510867821
8.00_76.00,7.50_75.50,0.0156443510867821
8.00_76.00,7.50_75.75,0.0156443510867821
8.00_76.00,7.50_76.00,0.0156443510867821
8.00_76.00,7.50_76.25,0.0156443510867821
8.00_76.00,7.50_76.50,0.0156443510867821
8.00_76.00,7.50_76.75,0.0156443510867821
8.00_76.00,7.50_77.00,0.00782217554339104
8.00_76.00,7.75_75.00,0.00781760770697826
8.00_76.00,7.75_75.25,0.0156352154139565
8.00_76.00,7.75_75.50,0.0156352154139565
8.00_76.00,7.75_75.75,0.0156352154139565
8.00_76.00,7.75_76.00,0.0156352154139565
8.00_76.00,7.75_76.25,0.0156352154139565
8.00_76.00,7.75_76.50,0.0156352154139565
8.00_76.00,7.75_76.75,0.0156352154139565
8.00_76.00,7.75_77.00,0.00781760770697826
8.00_76.00,8.00_75.00,0.00781289103458357
8.00_76.00,8.00_75.25,0.0156257820691671
8.00_76.00,8.00_75.50,0.0156257820691671
8.00_76.00,8.00_75.75,0.0156257820691671
8.00_76.00,8.00_76.00,0.0156257820691671
8.00_76.00,8.00_76.25,0.0156257820691671
8.00_76.00,8.00_76.50,0.0156257820691671
8.00_76.00,8.00_76.75,0.0156257820691671
8.00_76.00,8.00_77.00,0.00781289103458357
8.00_76.00,8.25_75.00,0.00780802561600562
8.00_76.00,8.25_75.25,0.0156160512320112
8.00_76.00,8.25_75.50,0.0156160512320112
8.00_76.00,8.25_75.75,0.0156160512320112
8.00_76.00,8.25_76.00,0.0156160512320112
8.00_76.00,8.25_76.25,0.0156160512320112
8.00_76.00,8.25_76.50,0.0156160512320112
8.00_76.00,8.25_76.75,0.0156160512320112
8.00_76.00,8.25_77.00,0.00780802561600562
8.00_76.00,8.50_75.00,0.00780301154387497
8.00_76.00,8.50_75.25,0.0156060230877499
8.00_76.00,8.50_75.50,0.0156060230877499
8.00_76.00,8.50_75.75,0.0156060230877499
8.00_76.00,8.50_76.00,0.0156060230877499
8.00_76.00,8.50_76.25,0.0156060230877499
8.00_76.00,8.50_76.50,0.0156060230877499
8.00_76.00,8.50_76.75,0.0156060230877499
8.00_76.00,8.50_77.00,0.00780301154387497
8.00_76.00,8.75_75.00,0.00779784891365233
8.00_76.00,8.75_75.25,0.0155956978273046
8.00_76.00,8.75_75.50,0.0155956978273046
8.00_76.00,8.75_75.75,0.0155956978273046
8.00_76.00,8.75_76.00,0.0155956978273046
8.00_76.00,8.75_76.25,0.0155956978273046
8.00_76.00,8.75_76.50,0.0155956978273046
8.00_76.00,8.75_76.75,0.0155956978273046
8.00_76.00,8.75_77.00,0.00779784891365233
8.00_76.00,9.00_75.00,0.00389693975437909
8.00_76.00,9.00_75.25,0.00779387950875818
8.00_76.00,9.00_75.50,0.00779387950875818
8.00_76.00,9.00_75.75,0.00779387950875818
8.00_76.00,9.00_76.00,0.00779387950875818
8.00_76.00,9.00_76.25,0.00779387950875818
8.00_76.00,9.00_76.50,0.00779387950875818
8.00_76.00,9.00_76.75,0.00779387950875818
